table,producing_script,source,cadence,validation_target
panel_informalidad_transicion_2014-2018,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_transicion_2015-2019,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_transicion_2016-2020,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_transicion_2017-2021,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_transicion_2018-2022,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_transicion_2019-2023,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_intergen_educacion_2007-2011,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_intergen_pooled,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2007-2011,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2011-2015,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2012-2016,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2013-2017,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2014-2018,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2015-2019,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2016-2020,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2017-2021,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2018-2022,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_movilidad_quintil_2019-2023,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_pobreza_dinamica_2007-2011,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_dinamica_2011-2015,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_dinamica_2012-2016,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_dinamica_2013-2017,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_dinamica_2014-2018,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_dinamica_2015-2019,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_dinamica_2016-2020,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_dinamica_2017-2021,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_dinamica_2018-2022,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_dinamica_2019-2023,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2007-2011,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2011-2015,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2012-2016,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2013-2017,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2014-2018,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2015-2019,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2016-2020,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2017-2021,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2018-2022,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_pobreza_transicion_2019-2023,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2007-2011,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2011-2015,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2012-2016,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2013-2017,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2014-2018,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2015-2019,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2016-2020,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2017-2021,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2018-2022,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_dinamica_2019-2023,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_transicion_2007-2011,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_transicion_2011-2015,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_transicion_2012-2016,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_transicion_2013-2017,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_transicion_2014-2018,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_transicion_2015-2019,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_transicion_2016-2020,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_transicion_2017-2021,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
