prov,DEPARTAMEN,PROVINCIA,income_2021,income_2025,chg_pct,nhh_min
1502,LIMA,BARRANCA,1022.7262454709976,1186.8048242498485,16.043254928232287,172.0
1203,JUNIN,CHANCHAMAYO,995.135455744041,1156.733874535135,16.238836417527747,188.0
2104,PUNO,CHUCUITO,729.8571211196644,854.9626932800827,17.1411045450232,86.0
2110,PUNO,SAN ANTONIO DE PUTINA,846.8425927303064,996.9841160463686,17.729566817369303,43.0
1002,HUANUCO,AMBO,901.3053026675834,1063.7623167609063,18.024637557606795,94.0
1006,HUANUCO,LEONCIO PRADO,908.2127931607946,1073.4716352046328,18.196048689063105,197.0
0205,ANCASH,BOLOGNESI,938.5662906362206,1111.8110933825235,18.4584514141102,24.0
0812,CUSCO,QUISPICANCHI,769.6054606052884,912.0623769218522,18.51038273617791,84.0
1703,MADRE DE DIOS,TAHUAMANU,801.1706042009457,950.0077114160872,18.5774548435393,60.0
0210,ANCASH,HUARI,955.3241138994384,1132.91798261057,18.5899074593888,66.0
1201,JUNIN,HUANCAYO,1300.6402176228955,1547.7619359063233,19.00000591516981,569.0
0506,AYACUCHO,LUCANAS,895.2930740904268,1070.9179402633097,19.61646652425062,99.0
1207,JUNIN,TARMA,839.5145993171041,1013.2763183777628,20.69787937005547,124.0
0803,CUSCO,ANTA,781.6156176301439,953.3455550091148,21.971149693714587,65.0
0905,HUANCAVELICA,CHURCAMPA,481.7111345847499,588.5231038349299,22.173448272532717,55.0
1310,LA LIBERTAD,SANTIAGO DE CHUCO,790.551357015447,966.2641655598306,22.22661525846325,46.0
1507,LIMA,HUAROCHIRI,967.7041107964455,1194.0713675541856,23.39219749427681,120.0
0901,HUANCAVELICA,HUANCAVELICA,815.9188942191163,1009.5567829852872,23.732492302619647,306.0
2101,PUNO,PUNO,924.6952107845756,1144.5234642212,23.773049851756767,225.0
2205,SAN MARTIN,LAMAS,891.5885538659387,1110.8079355682248,24.587505161629576,105.0
2207,SAN MARTIN,PICOTA,1070.1031972933906,1335.6008873402463,24.8104753558702,68.0
0808,CUSCO,ESPINAR,909.2645160915966,1136.306501915119,24.96985000574363,92.0
0220,ANCASH,YUNGAY,704.4110893630987,881.8810077564287,25.194083550528923,59.0
0212,ANCASH,HUAYLAS,1156.690397147919,1460.8947222563943,26.299546175758003,62.0
2112,PUNO,SANDIA,513.6533831483495,648.7593275537138,26.30294062841674,44.0
0604,CAJAMARCA,CHOTA,946.5830238838464,1199.8075814331512,26.751436605140032,156.0
0402,AREQUIPA,CAMANA,1174.0009042219356,1490.160324256368,26.93008317944745,69.0
0612,CAJAMARCA,SAN PABLO,582.3618319775934,739.6529668871298,27.00917647288193,28.0
