pk,hh,trust_share,edad,mujer,educ_anios,sis,ocupado,ipcr_0,factor07,pobre,juntos,pension65,transfer
0153560151101,01535601511,0.09523809523809523,53.0,1.0,6.0,1.0,1.0,1983.3040971619482,223.21524047851562,0.0,0.0,1.0,1.0
0153560161101,01535601611,0.19047619047619047,53.0,1.0,6.0,1.0,1.0,1769.3014889172198,223.21524047851562,0.0,0.0,0.0,1.0
0153560641101,01535606411,0.047619047619047616,34.0,0.0,11.0,0.0,1.0,587.5436803037477,223.21524047851562,0.0,0.0,0.0,0.0
0153560671101,01535606711,0.3333333333333333,19.0,0.0,11.0,1.0,1.0,1844.3113634463239,223.21524047851562,0.0,0.0,0.0,1.0
0153560681101,01535606811,0.42857142857142855,74.0,0.0,11.0,1.0,1.0,5262.476705488544,223.21524047851562,0.0,0.0,1.0,1.0
0153720211101,01537202111,0.0,62.0,0.0,11.0,0.0,1.0,1100.0331539596802,223.21524047851562,0.0,0.0,0.0,0.0
0153720221101,01537202211,0.0,54.0,1.0,6.0,1.0,1.0,261.0941229277849,223.21524047851562,1.0,0.0,1.0,1.0
0153720651101,01537206511,0.047619047619047616,76.0,0.0,0.0,1.0,1.0,2563.884594707339,223.21524047851562,1.0,0.0,1.0,1.0
0153720661101,01537206611,0.09523809523809523,85.0,0.0,3.0,1.0,1.0,424.70066333095195,223.21524047851562,1.0,0.0,1.0,1.0
0153720681101,01537206811,0.0,51.0,0.0,3.0,1.0,1.0,506.46134069464046,223.21524047851562,1.0,1.0,1.0,1.0
0153840211101,01538402111,0.0,51.0,1.0,0.0,1.0,1.0,600.4249089455618,223.21524047851562,0.0,1.0,0.0,1.0
0153841191101,01538411911,0.0,63.0,0.0,3.0,1.0,1.0,411.94566141867006,223.21524047851562,0.0,1.0,0.0,1.0
0153841211101,01538412111,0.14285714285714285,54.0,0.0,3.0,1.0,1.0,440.3559108346993,223.21524047851562,0.0,1.0,0.0,1.0
0153960501101,01539605011,0.09523809523809523,73.0,1.0,0.0,0.0,1.0,808.4129009928201,69.78561401367188,1.0,0.0,0.0,0.0
0153960701101,01539607011,0.0,47.0,0.0,14.0,1.0,1.0,1608.5036193761953,69.78561401367188,0.0,0.0,0.0,1.0
0153961101101,01539611011,0.0,48.0,0.0,17.0,1.0,1.0,2065.285034972144,69.78561401367188,0.0,0.0,0.0,1.0
0153961671101,01539616711,0.38095238095238093,42.0,1.0,17.0,0.0,1.0,811.4065803396484,69.78561401367188,0.0,0.0,0.0,0.0
0154240061101,01542400611,0.047619047619047616,60.0,0.0,14.0,0.0,1.0,1849.1077396182022,390.3323974609375,0.0,0.0,0.0,0.0
0154240241101,01542402411,0.0,65.0,1.0,14.0,0.0,1.0,2894.4231251622023,390.3323974609375,0.0,0.0,0.0,0.0
0154240611101,01542406111,0.0,42.0,0.0,13.0,1.0,1.0,715.4494877382856,390.3323974609375,0.0,0.0,0.0,1.0
0154240831101,01542408311,0.09523809523809523,46.0,1.0,17.0,0.0,1.0,2032.2568152956312,390.3323974609375,0.0,0.0,0.0,0.0
0154241441101,01542414411,0.09523809523809523,73.0,0.0,9.0,1.0,1.0,479.2006740770174,390.3323974609375,0.0,0.0,1.0,1.0
0154270221101,01542702211,0.09523809523809523,52.0,0.0,11.0,1.0,1.0,1540.453983931044,93.04747772216797,0.0,0.0,0.0,1.0
0154270501101,01542705011,0.2857142857142857,31.0,0.0,9.0,1.0,1.0,2610.399765793426,93.04747772216797,0.0,0.0,0.0,1.0
0154270661101,01542706611,0.047619047619047616,68.0,0.0,13.0,0.0,1.0,1495.547303545307,93.04747772216797,0.0,0.0,0.0,0.0
0154271071101,01542710711,0.0,74.0,0.0,11.0,0.0,1.0,1813.1735942840303,93.04747772216797,0.0,0.0,0.0,0.0
0154271231101,01542712311,0.9047619047619048,72.0,1.0,17.0,0.0,1.0,3228.59322501768,93.04747772216797,0.0,0.0,0.0,0.0
0154350251101,01543502511,0.0,65.0,0.0,6.0,1.0,0.0,648.3992431540274,390.3323974609375,0.0,0.0,0.0,1.0
0154350361101,01543503611,0.0,38.0,1.0,9.0,1.0,1.0,531.7532312638407,390.3323974609375,1.0,1.0,0.0,1.0
0154350481101,01543504811,0.047619047619047616,86.0,1.0,0.0,1.0,1.0,692.1057593214656,390.3323974609375,0.0,0.0,1.0,1.0
0154350721101,01543507211,0.047619047619047616,63.0,0.0,3.0,1.0,1.0,786.117053361661,390.3323974609375,1.0,0.0,0.0,1.0
0154490071101,01544900711,0.047619047619047616,49.0,0.0,3.0,1.0,1.0,1829.1115620566534,161.44622802734375,0.0,1.0,0.0,1.0
0154490161101,01544901611,0.09523809523809523,74.0,0.0,6.0,1.0,1.0,911.9802870332848,161.44622802734375,1.0,0.0,1.0,1.0
0154490601101,01544906011,0.14285714285714285,83.0,0.0,0.0,1.0,0.0,365.38437412116684,161.44622802734375,0.0,0.0,1.0,1.0
0154490631101,01544906311,0.14285714285714285,82.0,1.0,0.0,1.0,1.0,1111.6384587372036,161.44622802734375,0.0,0.0,1.0,1.0
0154600471101,01546004711,0.19047619047619047,55.0,1.0,3.0,0.0,1.0,847.1950676819446,161.44622802734375,0.0,0.0,0.0,0.0
0154600481101,01546004811,0.14285714285714285,62.0,0.0,9.0,1.0,1.0,686.7447191951151,161.44622802734375,0.0,1.0,0.0,1.0
0154600991101,01546009911,0.19047619047619047,50.0,1.0,0.0,1.0,1.0,4744.322373626364,161.44622802734375,0.0,0.0,0.0,1.0
0154653781101,01546537811,0.14285714285714285,39.0,1.0,11.0,1.0,1.0,454.86104203315205,161.44622802734375,1.0,0.0,0.0,1.0
0154653801101,01546538011,0.0,53.0,0.0,3.0,1.0,1.0,900.2679025026133,161.44622802734375,0.0,0.0,0.0,1.0
0154658641101,01546586411,0.09523809523809523,69.0,0.0,6.0,1.0,1.0,527.9327137674632,161.44622802734375,0.0,0.0,1.0,1.0
0154658681101,01546586811,0.19047619047619047,54.0,1.0,0.0,1.0,1.0,2272.127859308923,161.44622802734375,0.0,1.0,0.0,1.0
0154658691101,01546586911,0.14285714285714285,47.0,1.0,0.0,1.0,1.0,723.8400225479999,161.44622802734375,0.0,1.0,0.0,1.0
0154658711101,01546587111,0.0,41.0,1.0,3.0,1.0,1.0,534.0217769033806,161.44622802734375,1.0,1.0,0.0,1.0
0154910131101,01549101311,0.5714285714285714,36.0,0.0,11.0,1.0,1.0,1152.9081920858016,161.44622802734375,0.0,0.0,1.0,1.0
0154910141101,01549101411,0.0,85.0,0.0,3.0,1.0,0.0,941.6958120001153,161.44622802734375,0.0,0.0,1.0,1.0
0154910341101,01549103411,0.14285714285714285,56.0,0.0,11.0,1.0,1.0,480.1424593863882,161.44622802734375,1.0,0.0,1.0,1.0
0154910351101,01549103511,0.0,77.0,1.0,3.0,1.0,1.0,884.2475668585382,161.44622802734375,0.0,0.0,1.0,1.0
0154910361101,01549103611,0.047619047619047616,43.0,0.0,6.0,1.0,1.0,381.6062124168381,161.44622802734375,1.0,1.0,0.0,1.0
