ubigeo,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
190208,841.4870055359445,2019.2127799987793,14.0,666.6215950673532,3613.325309753418,16.0,-20.7805241576154,-174.86541046859134
050205,794.0091163996174,7718.952117919922,16.0,629.0717894370313,8160.185348510742,15.0,-20.772724589168913,-164.9373269625861
060903,1061.1402094252426,26130.379486083984,21.0,842.4390777708031,27331.225845336914,14.0,-20.610012674281474,-218.70113165443945
130704,1446.8190629739183,45657.75601196289,28.0,1149.354510567215,46493.831115722656,26.0,-20.559899991590434,-297.46455240670343
010512,834.4593512213189,6870.285781860352,31.0,663.3654700872758,2623.207664489746,16.0,-20.503560884497162,-171.09388113404316
100802,688.0365579921711,15199.280151367188,14.0,548.1034039242722,13753.353515625,5.0,-20.338040536138358,-139.93315406789884
200104,1429.487979609047,125077.68999862671,138.0,1139.7666250657285,161032.26069641113,135.0,-20.26749148478708,-289.7213545433185
110202,1543.2445966126354,14991.72494506836,12.0,1230.875634030431,11390.575698852539,20.0,-20.24105337986232,-312.3689625822044
030105,884.2322940949786,2526.047317504883,8.0,707.7322437054266,4028.450180053711,8.0,-19.960823820645647,-176.50005038955192
060801,1191.1829617253902,98793.50396728516,100.0,953.9320843430602,89713.66340637207,97.0,-19.917249071350028,-237.25087738233003
240102,1323.8078640925958,27800.92077732086,60.0,1061.6288431144083,24507.421743392944,69.0,-19.80491490416535,-262.1790209781875
220104,1033.0189734336718,24543.57554626465,36.0,829.0797270933062,33301.76368713379,34.0,-19.74206201290649,-203.93924634036557
050615,763.2997404148093,3445.4360961914062,7.0,614.384762057722,2725.05126953125,7.0,-19.5093710206374,-148.9149783570873
120405,1576.2482344806454,4385.007553100586,8.0,1268.8080690762201,5382.7452392578125,8.0,-19.504552562161827,-307.4401654044252
210503,1028.9259389272606,18056.857330322266,24.0,828.9798045814775,17149.823364257812,22.0,-19.432509841694078,-199.9461343457831
100105,633.9932271125369,11804.155517578125,16.0,511.0949905920481,13985.354431152344,16.0,-19.384786976387335,-122.89823652048887
050301,1302.7442394093664,28872.673538208008,26.0,1058.7574462279465,15553.576293945312,19.0,-18.728679490614198,-243.9867931814199
030505,766.7355932682971,3489.7632598876953,8.0,623.4594086632042,2052.388687133789,6.0,-18.68651799434039,-143.2761846050929
130608,682.2751268310866,6454.187164306641,8.0,554.9304498318147,6583.089111328125,8.0,-18.664710465225433,-127.34467699927188
240104,1421.3149026462522,7644.561576843262,25.0,1157.1315463419007,6833.063325881958,41.0,-18.587250145093527,-264.1833563043515
010522,1227.4346039211607,1460.6820373535156,8.0,999.4939780439452,3587.7141189575195,16.0,-18.570490448048048,-227.94062587721555
210806,768.3302891248298,35608.39416503906,9.0,625.6711824189134,17903.25439453125,6.0,-18.567419341024927,-142.65910670591643
130705,1244.4255858936533,8992.311248779297,11.0,1013.7832742966727,19307.710693359375,12.0,-18.534038050282497,-230.64231159698056
050502,900.4173638801145,17944.533630371094,14.0,734.0098546355702,20977.302322387695,17.0,-18.481152843105384,-166.40750924454437
080302,785.2193088243996,13577.18701171875,21.0,640.2288564782941,5491.356414794922,8.0,-18.464962681977305,-144.99045234610549
170204,1281.8597123280485,13455.414685249329,49.0,1048.0737771043937,14791.367799758911,47.0,-18.23802815356953,-233.78593522365486
150728,1394.6598931222622,9099.774505615234,11.0,1141.240790203684,4208.183670043945,11.0,-18.170674023703537,-253.41910291857835
100901,880.1302164878022,9468.551834106445,13.0,720.3552706904431,14676.852111816406,27.0,-18.153557599118443,-159.774945797359
190105,875.7795523291055,8203.613304138184,14.0,717.877821037232,6735.880523681641,11.0,-18.029849049562674,-157.9017312918735
021603,692.9664177086529,6832.379791259766,7.0,568.2828858163663,4938.306640625,8.0,-17.992723558605107,-124.68353189228662
050606,1109.0660586200565,5432.555114746094,16.0,910.5334081108748,4938.811264038086,13.0,-17.90088597213081,-198.53265050918174
