ym,tasa_desempleo,tasa_desempleo_h,tasa_desempleo_m,tasa_desempleo_joven,tasa_desempleo_adulto,tasa_desempleo_mayor,tasa_actividad,tasa_actividad_h,tasa_actividad_m,ing_nominal,fuente
202112,7.83,6.64,9.22,14.7,6.74,5.58,66.11,74.76,58.25,1615.0,EPE legacy
202201,8.62,6.79,10.79,15.48,7.88,5.68,65.97,75.25,57.53,1639.0,EPE legacy
202202,8.9,6.73,11.49,16.4,8.34,5.35,66.32,75.78,57.73,1650.0,EPE legacy
202203,9.41,6.79,12.49,16.88,9.06,5.59,67.21,76.25,59.01,1647.0,EPE legacy
202204,8.26,6.25,10.59,15.63,7.47,5.42,68.05,76.72,60.19,1633.0,EPE legacy
202205,7.21,5.58,9.1,14.32,6.03,5.14,68.03,76.85,60.04,1668.0,EPE legacy
202206,6.78,5.45,8.31,14.04,5.21,5.35,67.24,75.95,59.34,1667.0,EPE legacy
202207,6.83,5.49,8.39,14.28,5.39,5.14,66.8,75.55,58.86,1683.0,EPE legacy
202208,7.32,6.0,8.86,14.04,5.93,6.02,66.26,74.92,58.42,1700.0,EPE legacy
202209,7.67,6.09,9.53,14.99,6.25,6.27,65.86,74.77,57.8,1745.0,EPE legacy
202210,7.17,5.82,8.76,14.88,5.59,5.93,65.42,74.65,57.07,1770.0,EPEN moderno
202211,7.62,5.76,9.79,15.9,5.73,6.67,66.01,74.81,58.05,1776.0,EPEN moderno
202212,7.11,5.72,8.73,16.39,5.29,5.62,66.11,74.9,58.15,1800.0,EPEN moderno
202301,8.01,6.63,9.57,17.74,5.83,6.4,66.64,74.42,59.6,1803.0,EPEN moderno
202302,7.33,6.29,8.5,16.21,5.71,5.31,66.04,73.52,59.28,1833.0,EPEN moderno
202303,7.48,6.41,8.7,15.66,5.88,5.62,66.21,73.96,59.21,1841.0,EPEN moderno
202304,7.07,6.05,8.24,14.32,5.87,5.35,66.51,74.69,59.12,1873.0,EPEN moderno
202305,6.78,6.03,7.65,14.53,5.62,4.93,65.74,74.54,57.8,1905.0,EPEN moderno
202306,6.55,6.04,7.14,13.85,5.6,4.78,66.04,74.32,58.56,1925.0,EPEN moderno
202307,6.26,5.71,6.91,13.24,5.29,4.71,65.71,74.45,57.83,1937.0,EPEN moderno
202308,6.64,6.04,7.32,13.21,5.73,5.16,65.78,74.24,58.15,1951.0,EPEN moderno
202309,6.73,5.77,7.85,13.34,5.85,5.27,65.41,74.0,57.66,1943.0,EPEN moderno
202310,6.55,5.77,7.45,13.52,5.82,4.81,65.31,73.42,57.99,1955.0,EPEN moderno
