ym,des_h,des_m,des_joven,des_adulto,des_mayor,ingreso,adecuado_mil,subempleo_mil,pea_ocup_mil
201405,5.0,6.77,12.76,4.36,2.72,1451.25,2854.2,1760.1,4614.3
201406,5.09,6.38,12.53,4.27,2.72,1475.05,2927.4,1692.0,4619.4
201407,5.02,6.6,13.71,4.06,2.46,1498.98,3041.6,1580.2,4621.8
201408,5.2,6.75,13.87,4.12,2.68,1519.66,3057.7,1581.9,4639.6
201409,4.51,6.93,14.18,3.71,2.25,1526.72,3048.6,1570.7,4619.3
201410,4.91,6.62,13.52,4.06,2.38,1542.94,3030.2,1629.6,4659.8
201411,4.8,6.16,13.52,3.67,2.05,1546.7,3127.3,1569.2,4696.5
201412,5.0,6.22,14.07,3.65,2.24,1551.48,3111.0,1584.9,4695.9
201501,5.37,7.52,15.29,4.49,2.1,1577.92,3070.1,1565.6,4635.7
201502,5.73,8.26,16.23,4.95,2.17,1594.33,3004.7,1621.6,4626.3
201503,5.69,8.6,15.37,5.51,2.24,1609.35,2992.5,1656.5,4649.0
201504,5.44,8.4,14.94,5.21,2.64,1571.88,2968.8,1687.7,4656.5
201505,5.57,8.64,15.57,5.4,2.68,1560.22,2969.4,1664.0,4633.4
201506,5.52,8.36,16.14,4.96,2.62,1536.67,2996.6,1641.7,4638.3
201507,5.13,8.01,15.08,4.62,2.75,1525.07,3042.4,1629.8,4672.2
201508,4.7,7.86,14.05,4.5,2.75,1540.92,3077.6,1600.2,4677.8
201509,5.26,7.85,14.5,4.92,2.63,1559.93,3058.9,1615.9,4674.8
201510,5.04,6.76,13.2,4.52,2.19,1578.64,3099.5,1643.7,4743.2
201511,5.17,6.46,13.04,4.53,1.91,1611.27,3127.8,1669.7,4797.5
201512,5.09,6.41,13.36,4.22,1.88,1602.41,3139.7,1677.7,4817.4
201601,5.58,7.81,15.68,4.72,2.2,1636.53,3101.9,1651.0,4752.9
201602,5.98,8.03,16.22,4.78,2.65,1637.11,3101.2,1658.4,4759.6
201603,6.12,8.57,15.66,5.51,2.88,1655.25,3119.1,1640.5,4759.6
201604,6.17,7.96,15.1,5.42,2.67,1651.61,3162.1,1644.9,4807.0
201605,6.12,8.29,15.53,5.66,2.43,1614.4,3096.7,1665.3,4762.0
201606,6.19,7.92,16.03,5.09,2.85,1633.1,3082.1,1666.4,4748.5
201607,6.62,7.68,17.26,4.97,2.6,1633.32,3068.7,1658.1,4726.8
201608,6.43,7.27,16.31,4.79,2.71,1653.57,3080.7,1653.5,4734.2
201609,6.2,6.88,15.46,4.75,2.2,1645.35,3064.1,1672.2,4736.3
201610,5.65,6.85,14.56,4.48,2.5,1697.46,3101.5,1682.2,4783.7
201611,5.44,6.3,14.29,3.96,2.46,1732.58,3140.4,1686.8,4827.2
201612,5.75,6.83,15.96,3.99,2.49,1715.08,3142.8,1730.7,4873.5
201701,6.54,7.98,17.77,4.52,3.05,1680.04,3105.5,1726.1,4831.6
201702,7.06,8.56,18.48,4.96,3.53,1652.24,3101.6,1703.5,4805.1
201703,7.06,8.55,18.58,4.94,3.44,1674.76,3103.0,1682.1,4785.1
201704,6.15,7.63,16.16,4.65,2.93,1642.34,3064.0,1767.5,4831.5
201705,5.97,7.37,16.06,4.52,2.77,1634.69,3041.3,1768.8,4810.1
201706,6.19,7.81,15.7,5.07,3.17,1635.66,3057.8,1755.2,4813.0
201707,6.12,8.18,15.99,5.2,3.22,1672.99,3093.6,1732.0,4825.6
201708,0.0,0.0,15.21,4.85,2.92,1681.29,3104.8,1795.7,4900.5
201709,5.48,7.52,14.59,4.76,2.92,1653.22,3087.8,1806.3,4894.1
201710,5.74,6.74,14.25,4.56,2.93,1659.81,3119.6,1752.4,4872.0
201711,6.04,7.17,14.91,5.07,2.95,1696.05,3126.2,1722.0,4848.2
201712,5.95,7.04,15.02,4.78,3.01,1707.6,3159.73,1743.5,4903.23
201801,6.76,7.93,18.51,4.65,3.25,1703.96,3077.3,1775.8,4853.1
201802,7.03,9.2,19.57,5.13,3.71,1674.73,3055.6,1774.8,4830.4
201803,7.13,9.16,19.39,5.5,3.41,1687.15,3024.3,1776.0,4800.3
201804,5.93,8.95,15.64,6.02,3.13,1679.87,3057.1,1796.5,4853.6
201805,5.44,8.02,13.87,5.73,2.87,1650.04,3027.7,1828.4,4856.1
201806,4.88,7.81,12.97,5.34,2.98,1651.98,3033.4,1826.5,4859.9
201807,4.88,7.69,13.5,5.02,2.93,1670.53,3080.2,1813.4,4893.6
201808,4.61,7.82,14.21,4.66,2.79,1721.49,3138.7,1781.7,4920.4
201809,5.09,7.45,14.54,4.62,3.03,1701.57,3126.0,1789.6,4915.6
201810,5.73,7.24,16.33,4.35,3.33,1705.97,3128.7,1761.2,4889.9
201811,6.01,6.52,14.79,4.41,3.63,1686.46,3140.5,1813.0,4953.5
201812,5.55,6.79,15.07,4.29,3.23,1702.72,3161.9,1820.6,4982.5
201901,5.81,7.25,14.78,4.98,3.24,1674.88,3082.0,1852.5,4934.5
201902,6.51,8.8,17.92,5.43,3.88,1691.98,3057.9,1798.3,4856.2
201903,6.76,9.81,18.97,6.03,4.07,1716.19,3056.9,1772.8,4829.7
201904,5.62,9.35,18.36,5.21,3.6,1735.97,3123.2,1748.3,4871.5
201905,5.35,8.28,17.22,5.14,2.82,1723.35,3120.3,1747.2,4867.5
201906,5.29,7.49,15.24,5.2,2.76,1701.8,3150.8,1746.2,4897.0
201907,5.48,6.61,13.14,5.31,2.88,1699.63,3153.2,1755.0,4908.2
201908,4.99,6.8,12.89,5.1,2.77,1717.07,3185.0,1747.1,4932.1
201909,4.79,6.86,14.21,4.6,2.56,1743.04,3177.0,1750.4,4927.4
201910,5.16,7.88,16.86,5.02,2.49,1761.62,3210.7,1720.9,4931.6
201911,5.17,7.66,16.34,4.97,2.59,1767.42,3231.7,1730.2,4961.9
201912,5.02,7.33,15.8,4.62,2.73,1782.16,3310.0,1704.8,5014.8
202001,4.92,7.96,15.97,4.66,2.92,1798.24,3251.2,1786.1,5037.3
202002,5.4,9.01,17.63,5.13,3.35,1802.63,3170.4,1827.2,4997.6
202003,6.57,9.2,17.75,6.25,3.63,1731.35,2935.9,1888.1,4824.0
202004,8.5,9.57,18.82,8.19,4.27,1671.6,2184.1,1470.8,3654.9
202005,13.72,12.39,24.36,13.09,6.53,1584.36,1435.7,1113.5,2549.2
202006,16.08,16.53,33.38,16.28,7.58,1542.74,1101.0,1096.9,2197.9
202007,16.26,16.52,32.59,15.23,9.35,1519.52,1389.4,1545.9,2935.3
202008,14.96,16.34,31.75,14.2,9.12,1567.36,1683.5,1927.8,3611.3
202009,16.0,17.22,32.61,14.47,11.3,1529.61,1686.6,2063.3,3749.9
202010,15.53,17.57,31.48,14.81,10.73,1507.08,1776.6,2096.2,3872.8
202011,13.86,16.71,27.54,13.22,10.74,1514.28,2080.67,2062.0,4142.67
202012,12.27,15.74,25.55,12.06,9.25,1560.95,2280.59,2075.24,4355.83
202101,11.13,15.29,24.51,11.1,8.76,1576.05,2380.55,2058.04,4438.58
202102,12.61,16.8,27.8,12.79,8.82,1538.33,2084.99,2150.23,4235.22
202103,13.15,17.94,29.0,13.74,9.22,1552.02,1993.79,2123.28,4117.07
202104,12.89,17.85,29.26,13.74,8.57,1557.18,1954.81,2154.68,4109.48
202105,9.99,14.49,24.97,10.24,7.18,1558.41,2195.9,2213.17,4409.07
202106,8.29,12.75,21.57,8.47,6.65,1568.48,2299.06,2275.8,4574.86
202107,7.3,11.92,19.34,7.48,6.63,1590.03,2421.66,2244.33,4665.99
202108,7.79,11.66,18.54,8.01,6.78,1601.29,2428.52,2217.78,4646.29
202109,8.26,12.0,19.92,8.42,6.92,1608.39,2486.32,2168.96,4655.28
202110,8.14,11.28,19.02,8.18,6.72,1600.22,2481.05,2233.39,4714.44
202111,7.55,10.86,17.24,7.95,6.36,1588.27,2560.65,2252.18,4812.83
202112,6.64,9.22,14.7,6.74,5.58,1615.04,2640.5,2268.77,4909.26
202201,6.79,10.79,15.48,7.88,5.68,1639.47,2659.98,2201.88,4861.86
202202,6.73,11.49,16.4,8.34,5.35,1649.99,2680.39,2197.8,4878.19
202203,6.79,12.49,16.88,9.06,5.59,1646.61,2716.27,2204.87,4921.14
202204,6.25,10.59,15.63,7.47,5.42,1632.9,2758.61,2292.37,5050.98
202205,5.58,9.1,14.32,6.03,5.14,1667.6,2829.45,2283.57,5113.02
202206,5.45,8.31,14.04,5.21,5.35,1667.22,2845.53,2242.15,5087.68
202207,5.49,8.39,14.28,5.39,5.14,1683.05,2882.47,2182.43,5064.9
