anio,origen,destino,personas,n
2019,Apurimac,Ayacucho,153,1
2019,Madre de Dios,Ucayali,151,4
2019,Junin,Loreto,148,1
2019,Loreto,Tacna,147,4
2019,Huanuco,Lambayeque,145,1
2019,Ica,Madre de Dios,145,1
2019,Junin,Lambayeque,145,1
2019,Loreto,Huancavelica,144,1
2019,Puno,Tumbes,137,1
2019,Loreto,Apurimac,133,1
2019,Madre de Dios,Ayacucho,133,1
2019,Loreto,Ancash,131,1
2019,Ancash,Apurimac,129,1
2019,Apurimac,Madre de Dios,127,2
2019,Loreto,Arequipa,126,1
2019,Amazonas,Loreto,124,1
2019,Ayacucho,Loreto,122,1
2019,Cusco,Ucayali,119,2
2019,Ancash,Arequipa,117,4
2019,Pasco,Apurimac,114,1
2019,Huanuco,Tacna,102,2
2019,Madre de Dios,Tacna,102,2
2019,Ucayali,Tacna,102,2
2019,Ayacucho,Moquegua,86,1
2019,Ica,Moquegua,86,1
2019,Huancavelica,Amazonas,84,1
2019,La Libertad,Pasco,82,1
2019,Madre de Dios,Amazonas,81,1
2019,Moquegua,Amazonas,79,1
2019,Apurimac,Moquegua,75,1
2019,Tacna,Amazonas,73,1
2019,Huanuco,Amazonas,72,1
2019,Ancash,Tacna,70,2
2019,Madre de Dios,Arequipa,68,1
2019,La Libertad,Ucayali,66,2
2019,Junin,Madre de Dios,65,2
2019,Ucayali,Moquegua,65,1
2019,Cajamarca,Arequipa,63,2
2019,Arequipa,Tumbes,59,1
2019,Huanuco,Tumbes,59,1
2019,Arequipa,Pasco,57,1
2019,Piura,Amazonas,57,1
2019,Tacna,San Martin,55,1
2019,Cajamarca,Moquegua,53,1
2019,Ica,Tumbes,45,1
2019,Apurimac,Tacna,41,1
2019,Ancash,Madre de Dios,39,1
2019,Ayacucho,Tacna,39,1
2019,Piura,Madre de Dios,36,1
2019,Cajamarca,Ucayali,34,1
2019,Loreto,Madre de Dios,25,1
2019,Ayacucho,Madre de Dios,20,2
2019,Ayacucho,La Libertad,17,1
2019,La Libertad,Tacna,12,1
2019,Tacna,Madre de Dios,12,1
2019,Loreto,Tumbes,11,1
2019,Lambayeque,Moquegua,8,2
2019,Huanuco,Loreto,6,2
2019,Tumbes,Ancash,6,1
2019,Cusco,Loreto,3,1
2020,Junin,Lima,24300,34
2020,Ancash,Lima,22530,31
2020,Lima,Loreto,19120,99
2020,Lima,Junin,18003,54
2020,Lima,San Martin,15903,87
2020,Lima,Huanuco,15358,69
2020,Lima,Lambayeque,14475,57
2020,Loreto,Lima,13954,20
2020,Cajamarca,Lima,13860,14
2020,Lima,Ancash,13393,65
2020,Lima,La Libertad,13110,36
2020,Cusco,Lima,11400,16
2020,Piura,Lima,10992,18
2020,Lima,Piura,10940,52
2020,Ucayali,Lima,10478,12
2020,Apurimac,Lima,9676,15
2020,Lima,Ucayali,7866,59
2020,Lima,Cusco,7835,21
2020,Huanuco,Lima,7766,14
2020,Amazonas,Lima,7626,11
2020,Lima,Arequipa,7618,35
2020,Puno,Arequipa,7282,25
2020,Ayacucho,Lima,7268,7
2020,Lima,Ayacucho,7047,36
2020,Cusco,Arequipa,6147,27
2020,Lima,Apurimac,6113,49
2020,Lima,Ica,5984,29
2020,Lima,Amazonas,5942,59
2020,Lima,Pasco,5692,44
2020,Arequipa,Lima,5671,13
2020,Loreto,Ucayali,5533,39
2020,Cajamarca,La Libertad,5464,13
2020,Ica,Lima,5412,11
2020,Cajamarca,Lambayeque,5404,29
2020,Arequipa,Cusco,5127,13
2020,Pasco,Lima,4903,5
