prov,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
0215,677.4289790013172,42331.515625,51.0,880.7373870237243,38482.152587890625,34.0,30.011767185119464,203.3084080224071
1506,955.2550352632725,167472.96875,237.0,1243.8353941216396,159697.2236480713,248.0,30.20977102505753,288.58035885836716
0404,1456.596564903814,54496.44921875,73.0,1929.706825097979,47084.14931488037,70.0,32.48052834900148,473.110260194165
0610,645.3243590642181,100306.5625,84.0,870.1442356437392,67199.25314331055,53.0,34.83827526757728,224.81987657952106
1606,577.8857892496903,86594.6875,93.0,781.551174582367,77797.79350280762,86.0,35.24318976542229,203.6653853326767
1605,670.5245418464076,86083.0,90.0,907.2749668441121,79005.13809204102,77.0,35.308241566486195,236.7504249977045
0813,827.4229064800626,91505.8515625,61.0,1135.208103295989,68960.69479370117,59.0,37.198051251115906,307.7851968159265
1509,920.4597638624432,32792.0234375,49.0,1276.041147554045,36098.276107788086,39.0,38.63084489424147,355.5813836916018
1607,489.78371306800676,60671.22265625,79.0,679.9767730435947,63551.12452697754,74.0,38.8320507401559,190.19305997558791
1206,757.2798584711102,216430.734375,236.0,1055.8784099440593,220280.94177246094,219.0,39.43040979272796,298.5985514729491
0406,1062.4042254090346,14407.95703125,30.0,1484.912950340972,8920.937942504883,23.0,39.76911187163887,422.5087249319374
2103,515.9055308446694,153693.828125,49.0,723.7230932719239,149293.6107788086,60.0,40.282096237077326,207.81756242725442
0203,682.6665596705084,13114.783203125,20.0,962.0989299963297,14385.501953125,24.0,40.93248253740309,279.43237032582135
2113,517.2977329804222,46307.546875,40.0,735.0970538832058,33559.2507019043,34.0,42.103281537293434,217.79932090278362
0810,692.6702478864943,47713.8984375,66.0,990.4621086153085,26421.970336914062,39.0,42.991865413225085,297.7918607288142
2502,668.2791480707817,54461.4296875,128.0,956.7794304782067,63144.533016204834,132.0,43.170624617015285,288.50028240742495
0104,530.6975058808475,30298.560546875,99.0,763.6998229977169,34823.05332183838,115.0,43.90492032370379,233.00231711686934
0303,852.2704681976055,22473.09765625,56.0,1266.3934176974847,19419.33921813965,43.0,48.590554871116524,414.12294949987916
1209,922.0604386272125,80769.8125,80.0,1370.446447810538,70034.79602050781,62.0,48.6287005058903,448.38600918332554
0508,1240.8236184612742,11618.1240234375,29.0,1881.448401712847,24614.99040222168,41.0,51.62899655681936,640.6247832515728
0613,590.7214818136806,52671.296875,50.0,906.5446174158939,49847.76933288574,51.0,53.46396657737038,315.82313560221326
0213,707.6035184918944,21607.2890625,31.0,1087.7164650048621,16353.866180419922,30.0,53.71835167285448,380.1129465129677
2204,1055.0176673279962,33780.54296875,50.0,1623.682661990853,33908.05276489258,50.0,53.90099258746002,568.6649946628568
2206,807.6335660664772,57154.7890625,77.0,1244.2747167468926,53728.263244628906,80.0,54.06426491249561,436.6411506804154
0811,669.413603025952,46859.8359375,43.0,1033.8802770237896,53061.98838806152,50.0,54.44566294296052,364.4666739978376
1004,581.4858723609074,31061.865234375,30.0,945.3007410851595,45864.79913330078,30.0,62.56641580080304,363.81486872425216
2203,674.479502164144,49114.51953125,66.0,1205.2456070288633,47509.882987976074,64.0,78.69269609553677,530.7661048647193
1604,503.378026901236,81507.984375,97.0,915.0326424822326,75456.72489929199,93.0,81.77842368589606,411.6546155809966
0407,1366.644894955242,29767.2578125,80.0,2496.005473718834,20149.24732208252,49.0,82.63745636722834,1129.3605787635918
0209,646.6503074833362,6492.115234375,8.0,1183.0005152426108,4793.675750732422,8.0,82.94285204110818,536.3502077592747
1303,317.19695977149195,8832.044921875,8.0,629.4607986960847,18081.126922607422,16.0,98.44477675622963,312.26383892459273
2109,595.5181253271548,30135.501953125,38.0,1187.183837443045,18872.27508544922,27.0,99.35309891547828,591.6657121158901
2504,,,,1340.045477576822,3750.402801513672,14.0,,
